Business_ID,Cuisine,Rating,Num_of_Reviews
KSleHGTG1yL1E7OEFFPoNQ,chinese,4.0,60.0
PXm4BNjTgWHYClemDAkDjw,chinese,4.0,25.0
SMImQM_JfZkIZwflTgOAoQ,chinese,4.5,5.0
x3_DaW2lWCNovheuZV_nAw,chinese,4.0,58.0
yvdaxotCYEt9HNt7GbERJw,chinese,3.0,31.0
uamIIAKNHqBCR50IpEi-TQ,chinese,5.0,3.0
euYzPWTvH9w9KC4wzhzGkQ,chinese,4.0,29.0
jVuj54_J9z0w9DjKPoUK2g,chinese,4.0,36.0
EDLKX7cCxPbmbmo1XG3xJQ,chinese,3.0,443.0
ezh0BG1qWKKLJa99gb-XzQ,chinese,4.5,36.0
lmiwPS9tl3cyMDGDeVstqQ,chinese,3.5,126.0
yVDNPV0Yf3vQAsXTJett1g,chinese,3.0,45.0
wqdFd3DZD_uTXRW784mFkg,chinese,4.5,35.0
0d9H27ztGyGHMENp2afAqA,chinese,3.5,4.0
G9uSeXMXv6QB8ZEQeOhYVA,chinese,3.5,19.0
7Ap1bmY3u_uM9L63fy0g7A,chinese,3.5,6.0
e-6UcplEErq2Hj14-eiM6Q,chinese,4.0,24.0
2KDvMziRqVxdbgMMO8QExw,chinese,4.0,441.0
WRRs3smfm6rHP5k4Slzr3w,chinese,3.0,143.0
xi_QX5uArqDM4LeL4WIv1Q,chinese,4.0,29.0
QBhHq4eN7rtFzmDUciVL-Q,chinese,3.5,123.0
ieOIBz6Gfqmwm1B0wUzh9g,chinese,4.5,426.0
2tR7d61tBGNlGaJRYvrN0Q,chinese,3.5,155.0
MnjB_RIJG0sDTk7dGggA4w,chinese,3.5,11.0
5tWpAFpF618KJxBhHJzF7g,chinese,4.0,55.0
AgTj_2PYIKP519hexQCvCg,chinese,3.5,287.0
XmycF9-fpEPlgMe8_qgJrQ,chinese,4.0,191.0
d6i6sGHtPmyUkHze5S1lIQ,chinese,4.5,29.0
lKxmH-hQ6ezKbq4URKrd-Q,chinese,4.0,303.0
PGBHteqfNcTqesQFKqqdsg,chinese,3.5,115.0
TV8v5BQXMprtMwhkUXjLdw,chinese,4.5,41.0
RkcQl4uEJWblWf4xX8ssqQ,chinese,3.5,386.0
UiBQ8Uyu4wfOtEM1Rr8ycA,chinese,4.0,449.0
wdGMVLUzocmnl2tST0lheg,chinese,4.0,67.0
qu3niqEXOUdNxCCXnSPBYg,chinese,4.0,51.0
PQ2ZlhuTlJpvMUgvsAwtmQ,chinese,3.5,294.0
1nE1Kh1NgbtfRKh5byGQkw,chinese,3.5,19.0
_hIxEP_Wd13cjNJ1tcf6KQ,chinese,3.5,30.0
77zkzHD6Kavy1vT-sPXxJA,chinese,4.0,25.0
unz_YBwCWg-O5id5rxSyDA,chinese,3.5,168.0
UJtUaOXnwtQA1rb-4BHsCg,chinese,3.0,37.0
wpJGWi1LQsCd7Leq3Y4RqQ,chinese,4.0,75.0
4NCvsUR3cKLaPgIZJK622w,chinese,3.5,7.0
mm_ThSw5EnaDW2dA7D-49A,chinese,4.0,175.0
fLq5j4fkFmPD6I2tt6dSWQ,chinese,4.0,9.0
JaKLZrh1Y_2qB_0Gc3bk3A,chinese,3.0,454.0
kH_duDMclQNDlzfd701JzA,chinese,4.5,5.0
m2_ZNFos5ugAwe8ft8eaEw,chinese,4.5,349.0
woylrqH13UJgLHtZx49eIA,chinese,3.5,8.0
DPOWubhvyzYGjLbVvbr_sg,chinese,4.5,173.0
_O3q6PSXNoPapUar-RVXPw,chinese,3.5,15.0
uaFHoq-a5XqxF-bsOK9_Qg,chinese,3.5,899.0
vkgl6UT8e7PXoVZUhxXq8w,chinese,3.5,38.0
hBbAmEYXM4L03AU9Vt_p9g,chinese,3.5,98.0
a52GUjv7jYD3Baa0Ltbytw,chinese,3.5,17.0
mOP2_wjgUMqELKDL1Y-U-A,chinese,3.5,427.0
PwIMIWCzL7tlOVb-v0_RKw,chinese,4.0,16.0
3fBiB3slTfBpmf39vD7sJw,chinese,3.5,73.0
3cjw6qOQe5Qf_l_SciOfcQ,chinese,3.5,8.0
ZdLS7gD1ulmCPkqNc9_S3A,chinese,3.5,122.0
agCuWjaUJ8xBO_PDDQRiGw,chinese,4.0,110.0
FfUc69vNKeTkGqdpnq0giQ,chinese,4.5,5.0
wxUTM-FkpCvnoTGJfSXkWg,chinese,3.0,36.0
vLPC4i4StmkyKLe2LrQX-A,chinese,4.0,5.0
FMDglMusiejQeRC08mWljQ,chinese,3.5,17.0
i4cyV13lYIS4mcJKZW75cA,chinese,3.5,44.0
a2sxaQooPmq9r7Cc-Umunw,chinese,3.5,242.0
hNLfVfnhexy7qegeYY6tkQ,chinese,3.5,43.0
xkYzEUPO6sR8bq5vWZSlpQ,chinese,3.0,27.0
KBZQN540Xz6LbXLRVOMc0w,chinese,3.5,172.0
ePVlFbTzdVQFWie__kdplg,chinese,3.5,379.0
_MdNLeBAcwv5Nb2yArZFvg,chinese,3.5,63.0
01m-oqxaCifh0s0eU03bBg,chinese,3.0,58.0
dBpttLTwkOT3HtFZ-u9vgQ,chinese,3.5,21.0
_CcEaSKTpzZIczrRzCRAPQ,chinese,4.0,56.0
PGeL1b4xNJggpZsHEGoxjg,chinese,3.0,364.0
efjo5qvboOWbiMnNHnLhzA,chinese,4.5,8.0
U5dCWjAxrvLLMH1ErpGfvw,chinese,3.5,115.0
hWkbadE0u-Eiqg9SAm176Q,chinese,3.0,55.0
yl49QxoU_RDHR6wQy-j34Q,chinese,3.5,11.0
AQqUiXi0hn1xu5qVfM54IQ,chinese,4.5,221.0
HM6cvh5A9LLBeb4Sca6fPA,chinese,3.0,65.0
2DlAPX4KBG8e7veOWYR6DQ,chinese,3.5,24.0
osnb51lPIHxUKRlcg7idwA,chinese,4.0,200.0
SNDUD4LFjVHWwrdAkokxRg,chinese,4.0,71.0
YsDS48NcoyNEnXJGUiTNaQ,chinese,3.5,17.0
RuOFTFVTEuYSswAlzjxvwQ,chinese,3.5,14.0
4cP9IJekfdFmx8vpMVoY9Q,chinese,3.5,24.0
9v-JAffC6qw8Xp67BICByQ,chinese,3.5,411.0
5RjZCsXuWPclyrDsnsXw7w,chinese,4.0,163.0
EYpS39ad-GfC5l2F7PwZig,chinese,4.0,161.0
1YGpTYD8xIuUpK_beMhzSw,chinese,4.0,122.0
JnbON6Z3M5ahO6t8IEChxQ,chinese,3.5,17.0
G4K-mNlM0oLKo8N--Ne2AA,chinese,3.5,69.0
d_TC6Om2EBTzHVm_lCgNtg,chinese,3.5,1200.0
O8-3tePMQIB4Kv_-JCrM9g,chinese,3.5,5.0
qFmyAqm0MQbdu_MHX1mhpQ,chinese,4.0,37.0
B3paSyv3eUeuJ6xPiM19jA,chinese,4.0,5.0
nznIq087BJUN1fLtPQ0Xww,chinese,4.5,59.0
Tk605KjXVTnXpGkOSuVBaQ,chinese,4.5,17.0
MBU4VGyaPKZKhe5x7UMQpA,chinese,4.0,9.0
